name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
WikiReader,https://github.com/nsh07/WikiReader,204,4,Kotlin,nsh07,Android app for reading Wikipedia pages distraction-free,2025-03-21T17:12:07Z,2024-09-30T06:27:36Z,16
intellij-platform-git-stats-plugin,https://github.com/zhensherlock/intellij-platform-git-stats-plugin,202,2,Kotlin,zhensherlock,git statistics plugins for IntelliJ Platform,2025-03-21T01:19:54Z,2023-05-01T06:13:59Z,0
kim,https://github.com/Ashampoo/kim,201,8,Kotlin,Ashampoo,Image metadata manipulation library for Kotlin Multiplatform,2025-02-27T17:02:21Z,2023-05-30T08:41:38Z,8
tggenerator,https://github.com/mouredev/tggenerator,201,13,Kotlin,mouredev,Generador de logotipos de eSports por IA (con fines académicos durante el evento Tenerife GG),2023-08-11T09:39:32Z,2023-07-10T06:55:45Z,0
lotus,https://github.com/dn0ne/lotus,200,5,Kotlin,dn0ne,Music player for Android,2025-01-25T20:15:16Z,2024-11-16T14:48:10Z,36
OShin,https://github.com/suqi8/OShin,199,6,Kotlin,suqi8,一个专为ColorOS系统设计的辅助模块,2025-03-21T06:10:34Z,2024-06-16T03:34:43Z,1
Android-Auto-XLauncher-Unlocked,https://github.com/Rikj000/Android-Auto-XLauncher-Unlocked,198,9,Kotlin,Rikj000,"Custom Android Auto launcher, unleash your AA app, unlock more features!",2024-10-29T10:43:25Z,2023-04-05T17:57:32Z,3
jetpack-camera-app,https://github.com/google/jetpack-camera-app,198,36,Kotlin,google,"A CameraX/Compose camera app built for validating camera feature implementations, serving as a reference for developers and OEMs.",2025-03-21T20:41:13Z,2023-01-19T23:20:10Z,26
money,https://github.com/eriksencosta/money,197,5,Kotlin,eriksencosta,Monetary calculations and allocations made easy,2024-10-14T17:09:55Z,2024-10-06T23:55:11Z,0
pixelix,https://github.com/daniebeler/pixelix,197,10,Kotlin,daniebeler,Android Client for Pixelfed,2025-03-19T12:08:48Z,2023-12-11T13:15:49Z,50
Tasky,https://github.com/thatsmanmeet/Tasky,197,8,Kotlin,thatsmanmeet,Tasky is a highly intuitive and easy-to-use todo list application designed for those who seek a powerful yet minimalistic way to manage their daily tasks.,2024-10-14T06:32:32Z,2023-02-19T12:35:36Z,0
burst,https://github.com/cashapp/burst,197,4,Kotlin,cashapp,Parameterized unit tests for Kotlin Multiplatform,2025-03-21T02:58:27Z,2024-10-09T06:31:34Z,8
HINTControl,https://github.com/zacharee/HINTControl,197,11,Kotlin,zacharee,A cross-platform app using JetBrains Compose to view and control various T-Mobile Home Internet gateways.,2025-03-08T18:35:20Z,2023-05-16T02:00:14Z,13
Extinguish,https://github.com/Moderpach/Extinguish,197,11,Kotlin,Moderpach,An app that helps you run any android apps as if the screen is on while it is off.,2024-10-03T10:45:38Z,2024-09-03T04:51:33Z,12
kompose-country-code-picker,https://github.com/joelkanyi/kompose-country-code-picker,195,22,Kotlin,joelkanyi,Kompose Country Code Picker is a Jetpack Compose library based on Material 3 (M3) that provides a country code picker for Android apps.,2025-03-20T23:28:40Z,2023-07-20T06:12:11Z,2
CryptoTracker,https://github.com/philipplackner/CryptoTracker,194,175,Kotlin,philipplackner,,2024-10-14T11:06:13Z,2024-09-20T16:00:16Z,0
GrindrPlus,https://github.com/R0rt1z2/GrindrPlus,194,21,Kotlin,R0rt1z2,"Xposed Module that unlocks and adds unique features to the Grindr app, enhancing user experience",2025-03-21T15:50:33Z,2023-09-11T23:00:08Z,1
dex-diff,https://github.com/theapache64/dex-diff,193,4,Kotlin,theapache64,A tool to compare two APK files at the dex level. Useful for checking the impact of things like fullMode and dex optimisations.,2024-09-23T17:25:38Z,2024-06-05T15:44:47Z,2
compose-animated-navigationbar,https://github.com/canopas/compose-animated-navigationbar,193,6,Kotlin,canopas,Android - Cool animated navigation bars for your compose android app.,2024-12-26T08:43:23Z,2023-09-29T11:27:50Z,0
compose-recyclerview,https://github.com/canopas/compose-recyclerview,192,10,Kotlin,canopas,Android - A jetpack compose list view that is backed by our all time favourite RecyclerView.,2024-12-26T09:00:57Z,2023-12-22T05:51:52Z,0
wavy-slider,https://github.com/mahozad/wavy-slider,192,3,Kotlin,mahozad,Multiplatform wavy slider/progress bar similar to the one in Android 13,2025-02-17T19:38:38Z,2023-07-04T12:35:02Z,6
Omni,https://github.com/FoedusProgramme/Omni,192,5,Kotlin,FoedusProgramme,A useful and handy android minimalist toolbox.,2024-10-06T19:40:28Z,2024-05-25T21:55:58Z,4
CommunityExtension,https://github.com/easybangumiorg/CommunityExtension,192,3,Kotlin,easybangumiorg,纯纯看番社区插件,2024-06-09T08:44:41Z,2024-01-28T13:56:30Z,3
BleCore,https://github.com/buhuiming/BleCore,191,38,Kotlin,buhuiming,Android蓝牙低功耗(BLE)快速开发框架,2025-03-07T04:25:15Z,2023-05-17T07:49:25Z,2
Quickly-Use-Jetpack-Compose,https://github.com/laomuji666/Quickly-Use-Jetpack-Compose,191,1,Kotlin,laomuji666,"简单易用的 Jetpack Compose 快速开发框架,以Compose的方式实现功能.",2025-03-03T02:26:52Z,2024-08-19T03:32:52Z,0
iris_android,https://github.com/nerve-sparks/iris_android,191,15,Kotlin,nerve-sparks,IRIS is an android app for interfacing with GGUF / llama.cpp models locally.,2025-02-01T13:26:22Z,2024-04-17T10:59:42Z,4
Updater-KMP,https://github.com/YuKongA/Updater-KMP,189,17,Kotlin,YuKongA,[App] Get HyperOS/MIUI recovery ROM info,2025-03-21T02:54:54Z,2024-05-05T07:19:14Z,0
YAMF,https://github.com/duzhaokun123/YAMF,189,19,Kotlin,duzhaokun123,Yet Another Mi-FreeForm,2024-06-08T15:30:45Z,2023-01-11T08:50:06Z,11
MediaPlayer-KMP,https://github.com/KhubaibKhan4/MediaPlayer-KMP,188,14,Kotlin,KhubaibKhan4,"MediaPlayer-KMP is a Kotlin Multiplatform (KMP) library that allows you to display and play YouTube videos across Android, iOS, Web, and Desktop platforms using JetBrains Compose Multiplatform. It provides a unified API for video playback that seamlessly integrates into Kotlin's multiplatform ecosystem.",2025-03-03T16:44:10Z,2024-07-06T06:38:38Z,3
multiplatform-library-template,https://github.com/Kotlin/multiplatform-library-template,188,32,Kotlin,Kotlin,,2025-03-03T13:03:30Z,2023-06-30T08:31:20Z,8
Cropify,https://github.com/MoyuruAizawa/Cropify,187,11,Kotlin,MoyuruAizawa,Image Cropper for Android Jetpack Compose.,2025-01-12T12:59:45Z,2023-04-10T20:05:47Z,2
godot-play-game-services,https://github.com/godot-sdk-integrations/godot-play-game-services,186,16,Kotlin,godot-sdk-integrations,A Godot 4.x plugin for integration with Google Play Game Services,2025-02-01T14:38:53Z,2023-12-08T14:39:56Z,0
android-apps,https://github.com/Dashlane/android-apps,186,23,Kotlin,Dashlane,🤖 Android applications sources,2024-11-28T13:17:15Z,2023-01-25T16:10:39Z,0
unocss-intellij,https://github.com/re-ovo/unocss-intellij,186,12,Kotlin,re-ovo,Unocss support on Intellij Idea/WebStorm,2025-02-13T14:37:08Z,2023-06-24T03:22:36Z,5
inspektify,https://github.com/BVantur/inspektify,186,7,Kotlin,BVantur,"KMP library for Android, iOS and Desktop targets for observing real-time network traffic of the app",2025-01-14T18:57:37Z,2024-08-18T08:08:28Z,5
Human-Readable,https://github.com/jacobras/Human-Readable,186,15,Kotlin,jacobras,A small set of data formatting utilities for Kotlin Multiplatform (KMP).,2025-03-21T05:15:20Z,2023-09-26T19:10:36Z,8
KMP-App-Template-Native,https://github.com/Kotlin/KMP-App-Template-Native,185,24,Kotlin,Kotlin,Kotlin Multiplatform app template with native UI,2025-01-30T11:16:43Z,2023-10-17T10:40:20Z,1
