name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
ATAK-Plugin,https://github.com/meshtastic/ATAK-Plugin,216,26,Java,meshtastic,ATAK Plugin for sending CoT to IMeshService,2025-03-21T20:38:07Z,2023-08-09T15:30:34Z,7
youtube-source,https://github.com/lavalink-devs/youtube-source,215,38,Java,lavalink-devs,A rewritten YouTube source manager for Lavaplayer.,2025-03-21T18:46:06Z,2024-04-16T17:00:38Z,4
class-obf,https://github.com/jar-analyzer/class-obf,215,20,Java,jar-analyzer,一个 CLASS 文件混淆工具，支持方法名/字段名/参数名引用分析和重命名混淆方式，支持字符串提取/AES加密运行时解密/整型异或混淆/垃圾代码花指令混淆/等方式，支持方法和字段的隐藏，支持INVOKE指令改反射调用，配置简单，容易上手,2025-03-07T07:51:40Z,2024-11-07T14:08:49Z,2
microservices-full-code,https://github.com/ali-bouali/microservices-full-code,213,141,Java,ali-bouali,,2024-05-10T19:33:40Z,2023-06-02T09:00:15Z,1
MemShellGene,https://github.com/suizhibo/MemShellGene,213,26,Java,suizhibo,一款Java内存马生成、测试工具，搭配@ax1sX的MemShell食用。,2024-07-04T07:48:16Z,2023-03-09T09:18:24Z,1
geo-assist,https://github.com/thegeekyasian/geo-assist,213,21,Java,thegeekyasian,Geo Assist is a spatial library to manage spatial data in-memory.,2023-05-02T07:31:57Z,2023-01-28T22:13:17Z,4
redstonetools-mod,https://github.com/RedstoneTools/redstonetools-mod,212,45,Java,RedstoneTools,A Redstone Quality of Life mod.,2024-07-23T19:57:56Z,2023-02-03T18:13:11Z,30
android_key_logger,https://github.com/37214728aaa/android_key_logger,212,12,Java,37214728aaa,,2023-12-27T12:53:37Z,2023-12-27T12:35:31Z,0
cffu,https://github.com/foldright/cffu,211,29,Java,foldright,"🦝 Java CompletableFuture-Fu(CF-Fu, pronounced ""Shifu""), a tiny sidekick library to make CompletableFuture usage more convenient, more efficient and safer in your application. 😋🚀🦺",2025-03-21T14:33:29Z,2023-02-13T04:56:53Z,5
automq-for-rocketmq,https://github.com/AutoMQ/automq-for-rocketmq,211,37,Java,AutoMQ,A cloud native implementation for Apache RocketMQ 5.0,2024-07-18T02:31:11Z,2023-09-11T08:44:15Z,43
Hydra,https://github.com/DragonKingpin/Hydra,211,6,Java,DragonKingpin,Hydra九头龙，面向PB级别知识库取数、情报系统、数据平台、大规模控制调度系统。建设云计算资源管理、任务/服务统一调度、数仓、微服务化、系统化中台基建系统化能力。——以实现大规模分布式爬虫搜索引擎为例。,2025-03-21T18:03:08Z,2024-07-10T10:11:33Z,5
NewBlackbox,https://github.com/ALEX5402/NewBlackbox,210,185,Java,ALEX5402,a softwere to clone apps on android also support running apps without installing,2024-11-27T09:20:16Z,2023-10-08T15:55:18Z,10
lavaplayer,https://github.com/lavalink-devs/lavaplayer,210,48,Java,lavalink-devs,Lavaplayer fork maintained by Lavalink,2025-02-01T16:18:35Z,2023-07-28T12:58:17Z,7
tjxt,https://github.com/shuhongfan/tjxt,209,78,Java,shuhongfan,天机学堂 黑马 天机学堂是一个基于微服务架构的生产级在线教育项目，核心用户不是K12群体，而是面向成年人的非学历职业技能培训平台。相比之前的项目课程，其业务完整度、真实度、复杂度都非常的高，与企业真实项目非常接近。,2024-07-13T07:11:36Z,2023-09-04T07:57:12Z,5
campus-example,https://github.com/oddfar/campus-example,209,34,Java,oddfar,campus项目例子——校园论坛、博客、树洞、信息墙、表白墙、万能墙。SpringBoot前后端分离项目，Web 端使用 Vue + ElementUi，仿微博UI布局。 移动端使用 uni-app 和 uview，后端使用  SpringBoot + Mybatis-Plus进行开发,2024-01-07T15:09:59Z,2023-02-22T14:50:47Z,2
app,https://github.com/youdeyunke/app,209,5,Java,youdeyunke,友得云客房产小程序是一款专为房产行业打造的开源的线上营销获客小程序，功能包括：一手房、二手房、租房房源发布、二维码海报、置业顾问电子名片，适用于房产开发商、代理商、房产自媒体等行业，拥有众多成功案例。前端采用微信小程序原生开发，后端采用java开发，社区版全部开源免费，您可以在此基础上进行修改和扩展，以适应您自己的业务。本项目所用技术栈有：java/springboot、js/vue,2025-03-21T11:37:29Z,2024-01-02T02:18:38Z,0
yucongming-java-sdk,https://github.com/liyupi/yucongming-java-sdk,208,23,Java,liyupi,鱼聪明 AI 的 Java SDK，几行代码使用 AI 助手能力！,2024-07-06T07:51:15Z,2023-05-09T08:11:29Z,13
Auto.js,https://github.com/TonyJiangWJ/Auto.js,208,77,Java,TonyJiangWJ,,2024-09-14T05:18:07Z,2023-02-12T16:07:34Z,9
IGexperiments,https://github.com/xHookman/IGexperiments,207,16,Java,xHookman,Enable dev menu & experiments for Instagram!,2025-01-05T15:17:38Z,2023-02-14T17:11:50Z,1
openldk,https://github.com/atgreen/openldk,205,6,Java,atgreen,A JIT Compiler and Runtime for Java in Common Lisp,2025-03-21T10:52:08Z,2024-12-31T17:55:50Z,1
skrstop-components,https://github.com/skrstop/skrstop-components,205,28,Java,skrstop,基于springboot的常用功能封装，包括：通用响应、通用异常、数据库、redis、远程存储、常用自定义注解、多数据源等，省去各种配置和通用配置，开箱即用，支持jdk8+、jdk17+,2025-03-13T11:44:07Z,2023-11-28T05:33:50Z,0
Deserial_Sink_With_JDBC,https://github.com/luelueking/Deserial_Sink_With_JDBC,205,17,Java,luelueking,Some ReadObject Sink With JDBC,2024-05-08T16:16:50Z,2023-09-04T07:36:49Z,0
daydayEXP,https://github.com/bcvgh/daydayEXP,204,20,Java,bcvgh,支持自定义Poc文件的图形化漏洞利用工具,2024-11-05T09:18:14Z,2023-08-18T01:21:53Z,6
blur-view,https://github.com/candlefinance/blur-view,204,5,Java,candlefinance,Blur view effect for React Native,2023-10-14T18:46:15Z,2023-02-15T12:56:10Z,2
mago-3d-tiler,https://github.com/Gaia3D/mago-3d-tiler,204,21,Java,Gaia3D,Official mago-3d-tiler repository,2025-03-12T09:09:10Z,2023-11-30T01:59:44Z,15
FlagSecurePatcher,https://github.com/j-hc/FlagSecurePatcher,204,18,Java,j-hc,Magisk module to patch service.jar on device to disable secure lock and screenshot listeners,2024-08-30T15:36:29Z,2024-05-22T21:45:41Z,1
qinglong-jd-apk,https://github.com/mxvc/qinglong-jd-apk,203,99,Java,mxvc,青龙脚本，京东cookie获取app，自动上传ck,2024-12-02T12:18:58Z,2024-06-07T08:04:18Z,4
ShellGenerate,https://github.com/Ni4n/ShellGenerate,203,16,Java,Ni4n,哥斯拉jsp/jspx免杀webshell生成器,2023-04-28T07:18:07Z,2023-04-25T09:31:38Z,0
