name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
hello-ai,https://github.com/xxxily/hello-ai,1054,98,JavaScript,xxxily,"It's not AI that takes away your job, but the people who master the use of AI tools. The most deadly attack is a dimension-reducing strike: destroying you has nothing to do with you - from ""The Three-Body Problem"".         中文说明： 抢走你工作的不是AI，而是掌握使用AI工具的人。 降维打击最为致命：毁灭你，与你何干《三体》",2025-02-24T09:01:54Z,2023-03-24T06:39:00Z,0
experts,https://github.com/metaskills/experts,1041,57,JavaScript,metaskills,Experts.js is the easiest way to create and deploy OpenAI's Assistants and link them together as Tools to create advanced Multi AI Agent Systems with expanded memory and attention to detail.,2024-09-09T14:01:39Z,2024-04-22T13:54:49Z,10
WeatherMaster,https://github.com/PranshulGG/WeatherMaster,1038,34,JavaScript,PranshulGG,A Weather app for android 🌦🌞☔,2025-03-21T19:01:28Z,2024-06-16T13:19:44Z,46
emby-crx,https://github.com/Nolovenodie/emby-crx,1037,95,JavaScript,Nolovenodie,Emby 增强/美化 插件 (适用于 Chrome 内核浏览器 / EmbyServer),2024-07-04T12:12:15Z,2023-05-01T17:57:09Z,40
Ximalaya-Downloader,https://github.com/Diaoxiaozhang/Ximalaya-Downloader,1037,149,JavaScript,Diaoxiaozhang,喜马拉雅专辑音频一键下载工具,2025-02-15T08:58:22Z,2023-02-24T13:44:05Z,14
GPT-4V-Act,https://github.com/ddupont808/GPT-4V-Act,1032,99,JavaScript,ddupont808,AI agent using GPT-4V(ision) capable of using a mouse/keyboard to interact with web UI,2024-12-09T17:48:09Z,2023-10-21T06:19:21Z,6
extensions,https://github.com/zed-industries/extensions,1017,529,JavaScript,zed-industries,Extensions for the Zed editor,2025-03-21T17:10:18Z,2024-02-07T17:36:02Z,179
chatd,https://github.com/BruceMacD/chatd,1016,69,JavaScript,BruceMacD,Chat with your documents using local AI,2024-07-06T01:21:36Z,2023-10-20T03:25:26Z,26
Tasks.md,https://github.com/BaldissaraMatheus/Tasks.md,1009,41,JavaScript,BaldissaraMatheus,"A self-hosted, Markdown file based task management board",2025-03-15T03:37:43Z,2023-02-26T21:19:33Z,36
transfer.zip-web,https://github.com/robinkarlberg/transfer.zip-web,1001,65,JavaScript,robinkarlberg,Transfer files securely between browsers using WebRTC data channels and more,2025-03-19T20:48:06Z,2023-05-15T16:52:36Z,4
traversy-js-challenges,https://github.com/bradtraversy/traversy-js-challenges,999,381,JavaScript,bradtraversy,Challenges & docs from JS Algorithms & Data Structures course,2025-01-29T15:42:48Z,2023-09-04T18:03:55Z,9
AnimeTV,https://github.com/amarullz/AnimeTV,998,70,JavaScript,amarullz,"Cross-platform anime streaming application for AndroidTV, GoogleTV, FireTV, Android Smartphone, Windows, Linux and MacOS",2025-03-21T17:46:49Z,2023-05-29T18:47:39Z,1
hugeicons-react,https://github.com/hugeicons/hugeicons-react,997,28,JavaScript,hugeicons,"Carefully crafted open-source React icons to fit seamlessly into your development workflow, ensuring your projects look user-friendly and professional.",2025-03-06T06:27:06Z,2024-02-11T19:42:49Z,8
levanter,https://github.com/lyfe00011/levanter,996,4689,JavaScript,lyfe00011,,2025-03-21T17:09:27Z,2024-08-21T23:11:31Z,0
langchain-chat-nextjs,https://github.com/zahidkhawaja/langchain-chat-nextjs,996,270,JavaScript,zahidkhawaja,Next.js frontend for LangChain Chat.,2023-03-16T05:47:06Z,2023-01-27T21:45:27Z,5
ollama-ui,https://github.com/ollama-ui/ollama-ui,995,167,JavaScript,ollama-ui,Simple HTML UI for Ollama,2025-02-12T18:30:03Z,2023-08-03T04:27:11Z,20
gptrpg,https://github.com/dzoba/gptrpg,988,107,JavaScript,dzoba,A demo of an GPT-based agent existing in an RPG-like environment,2023-05-03T20:23:03Z,2023-04-15T19:26:09Z,6
mern-chat-app,https://github.com/burakorkmez/mern-chat-app,987,291,JavaScript,burakorkmez,Real Time Chat App | MERN && Socket.io && JWT,2024-08-16T08:20:23Z,2024-01-31T01:13:58Z,12
babel-plugin-glowup-vibes,https://github.com/christina-de-martinez/babel-plugin-glowup-vibes,986,67,JavaScript,christina-de-martinez,the most goated babel plugin,2025-02-21T02:24:28Z,2023-09-27T00:00:10Z,15
sherif,https://github.com/QuiiBz/sherif,980,17,JavaScript,QuiiBz,"Opinionated, zero-config linter for JavaScript monorepos",2025-03-01T11:22:44Z,2023-09-17T14:11:52Z,8
MCiSEE,https://github.com/teaSummer/MCiSEE,980,115,JavaScript,teaSummer,"所见皆是Minecraft，让获取MC资源更加轻便！All of Minecraft, EASILY get Minecraft resources!",2025-03-21T16:26:52Z,2024-03-30T16:59:59Z,2
embyExternalUrl,https://github.com/bpking1/embyExternalUrl,974,161,JavaScript,bpking1,some emby/jellyfin scripts,2025-03-10T14:42:29Z,2023-02-02T06:58:31Z,13
aws-ai-stack,https://github.com/serverless/aws-ai-stack,967,89,JavaScript,serverless,"AWS AI Stack – A ready-to-use, full-stack boilerplate project for building serverless AI applications on AWS",2024-11-12T06:32:27Z,2024-09-04T19:13:23Z,3
heissepreise,https://github.com/badlogic/heissepreise,966,118,JavaScript,badlogic,Jo eh.,2024-03-11T12:56:26Z,2023-05-08T14:51:42Z,25
javascript-course,https://github.com/SuperSimpleDev/javascript-course,965,720,JavaScript,SuperSimpleDev,Watch the course: https://youtu.be/EerdGm-ehJQ,2025-02-10T17:06:19Z,2023-04-19T12:59:48Z,43
project_threejs_ai,https://github.com/adrianhajdin/project_threejs_ai,958,289,JavaScript,adrianhajdin,,2024-02-02T23:01:39Z,2023-03-30T15:15:13Z,39
capo.js,https://github.com/rviscomi/capo.js,955,18,JavaScript,rviscomi,Get your <head> in order,2024-05-25T13:58:09Z,2023-05-19T00:26:48Z,17
nopecha-nodejs,https://github.com/NopeCHALLC/nopecha-nodejs,953,5,JavaScript,NopeCHALLC,Automated CAPTCHA solver for Node.js.,2024-05-31T11:42:39Z,2023-03-23T18:16:11Z,6
Knightbot-MD,https://github.com/mruniquehacker/Knightbot-MD,953,2163,JavaScript,mruniquehacker,A simple WhatsApp bot to manage groups,2025-02-09T10:02:05Z,2025-01-28T07:02:03Z,6
AppScan,https://github.com/TongchengOpenSource/AppScan,947,110,JavaScript,TongchengOpenSource,安全隐私卫士（AppScan）一款免费的企业级自动化App隐私合规检测工具。,2025-03-16T03:39:59Z,2023-03-17T06:31:57Z,18
XianyuAutoAgent,https://github.com/shaxiu/XianyuAutoAgent,947,141,JavaScript,shaxiu,智能闲鱼客服机器人系统：专为闲鱼平台打造的AI值守解决方案，实现闲鱼平台7×24小时自动化值守，支持多专家协同决策、智能议价和上下文感知对话。,2025-03-21T08:10:57Z,2025-03-14T18:22:25Z,3
tshy,https://github.com/isaacs/tshy,946,20,JavaScript,isaacs,,2024-07-26T04:47:28Z,2023-09-11T04:08:12Z,14
shot-easy-website,https://github.com/CH563/shot-easy-website,946,112,JavaScript,CH563,Take a screenshot online and compresses images in browser with Webassembly,2025-02-12T06:19:04Z,2023-11-08T06:48:32Z,5
Miao-Yunzai,https://github.com/yoimiya-kokomi/Miao-Yunzai,941,169,JavaScript,yoimiya-kokomi,喵版Yunzai-V3,2025-03-17T04:23:40Z,2023-03-04T05:39:48Z,155
icefox,https://github.com/xiaopanglian/icefox,934,95,JavaScript,xiaopanglian,Typecho微信朋友圈主题 icefox,2025-02-21T08:35:16Z,2023-07-31T01:44:02Z,14
comfyui-photoshop,https://github.com/NimaNzrii/comfyui-photoshop,933,53,JavaScript,NimaNzrii,ComfyUi inside of your Photoshop! you can install the plugin and enjoy free ai genration,2025-02-25T13:50:12Z,2023-12-09T21:39:22Z,117
promptr,https://github.com/ferrislucas/promptr,922,37,JavaScript,ferrislucas,"Promptr is a CLI tool that applies plain language instructions to the filesystem. Instructions can utilize a liquidjs based templating system. Use cases include refactoring, code generation, and experimentation.",2024-12-10T04:13:00Z,2023-03-24T02:38:38Z,5
FastSend,https://github.com/ShouChenICU/FastSend,921,81,JavaScript,ShouChenICU,FastSend 是一个基于 WebRTC 技术的点对点文件传输工具，支持快速的目录同步和文件传输。通过浏览器即可实现安全、高效的文件共享。,2025-03-20T14:21:26Z,2024-07-12T08:15:19Z,2
cloudflare-reverse-fast,https://github.com/gaboolic/cloudflare-reverse-fast,921,341,JavaScript,gaboolic,cloudflare加速openai等接口,2024-11-28T09:08:59Z,2023-06-03T12:45:46Z,1
cursor-reset,https://github.com/isboyjc/cursor-reset,913,163,JavaScript,isboyjc,Cursor Trial Reset Tool,2025-02-14T19:39:18Z,2024-12-26T18:29:48Z,0
ticket-grabbing,https://github.com/Pactum7/ticket-grabbing,903,116,JavaScript,Pactum7,猫眼纷玩岛大麦抢票、余票监控AutoX.js脚本，手机移动端，全场次选购,2025-02-23T15:07:56Z,2024-03-19T02:05:43Z,22
sd-webui-bilingual-localization,https://github.com/journey-ad/sd-webui-bilingual-localization,901,79,JavaScript,journey-ad,Stable Diffusion web UI bilingual localization extensions. SD WebUI双语对照翻译插件,2024-08-03T16:07:25Z,2023-02-26T07:26:55Z,13
hexo-theme-Fomalhaut,https://github.com/fomalhaut1998/hexo-theme-Fomalhaut,901,145,JavaScript,fomalhaut1998,🥝的网站源码,2023-03-22T07:34:19Z,2023-02-28T12:47:02Z,7
