name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
sec-insights,https://github.com/run-llama/sec-insights,2463,671,TypeScript,run-llama,A real world full-stack application using LlamaIndex,2025-03-12T15:53:29Z,2023-09-05T03:19:34Z,38
tempo,https://github.com/formkit/tempo,2463,33,TypeScript,formkit,"📆 Parse, format, manipulate, and internationalize dates and times in JavaScript and TypeScript.",2024-08-21T13:26:12Z,2023-07-25T21:45:35Z,12
magic-copy,https://github.com/kevmo314/magic-copy,2462,154,TypeScript,kevmo314,Magic Copy is a Chrome extension that uses Meta's Segment Anything Model to extract a foreground object from an image and copy it to the clipboard.,2024-05-06T20:41:13Z,2023-04-07T04:59:51Z,15
streamyfin,https://github.com/streamyfin/streamyfin,2451,88,TypeScript,streamyfin,A Jellyfin client built with Expo,2025-03-19T23:17:25Z,2024-07-31T21:20:53Z,142
next-saas-stripe-starter,https://github.com/mickasmt/next-saas-stripe-starter,2441,483,TypeScript,mickasmt,"Open-source SaaS Starter with User Roles & Admin Panel. Built using Next.js 14, Prisma, Neon, Auth.js v5, Resend, React Email, Shadcn/ui, Stripe, Server Actions.",2024-08-16T14:36:10Z,2023-10-18T06:56:40Z,13
sveltekit-superforms,https://github.com/ciscoheat/sveltekit-superforms,2435,82,TypeScript,ciscoheat,Making SvelteKit forms a pleasure to use!,2025-03-09T16:06:40Z,2023-02-20T01:39:50Z,60
LlamaIndexTS,https://github.com/run-llama/LlamaIndexTS,2432,414,TypeScript,run-llama,Data framework for your LLM applications. Focus on server side solution,2025-03-21T18:05:36Z,2023-06-13T06:41:20Z,85
editor,https://github.com/mdx-editor/editor,2428,190,TypeScript,mdx-editor,A rich text editor React component for markdown,2025-03-20T06:38:30Z,2023-01-19T09:45:10Z,64
base-ui,https://github.com/mui/base-ui,2413,102,TypeScript,mui,"Base UI is an open-source library of accessible, unstyled UI components for React.",2025-03-21T19:28:28Z,2024-02-23T13:23:54Z,139
priompt,https://github.com/anysphere/priompt,2402,133,TypeScript,anysphere,Prompt design using JSX.,2025-02-03T21:10:47Z,2023-06-23T18:25:42Z,1
banking,https://github.com/adrianhajdin/banking,2402,777,TypeScript,adrianhajdin,Horizon is a modern banking platform for everyone.,2024-10-29T09:23:22Z,2024-04-26T11:56:17Z,62
Flexbox-Labs,https://github.com/prazzon/Flexbox-Labs,2391,230,TypeScript,prazzon,A web app for creating flexible layouts with the power of CSS Flexbox.,2025-03-11T20:28:48Z,2024-05-10T21:25:13Z,1
react-print-pdf,https://github.com/OnedocLabs/react-print-pdf,2388,95,TypeScript,OnedocLabs,"Build and generate PDF using React 📄 UI kit for PDFs and print documents. Simple, reusable components and templates to create great invoices, docs, brochures. Use your favorite front-end framework React to build your next PDF.",2024-09-12T17:37:01Z,2024-01-23T19:50:55Z,7
eslint-plugin-perfectionist,https://github.com/azat-io/eslint-plugin-perfectionist,2386,47,TypeScript,azat-io,"☂️ ESLint plugin for sorting various data such as objects, imports, types, enums, JSX props, etc.",2025-03-18T21:31:10Z,2023-05-05T21:04:44Z,13
iztro,https://github.com/SylarLong/iztro,2385,309,TypeScript,SylarLong,"⭐This is a lightweight kit for generating astrolabes for Zi Wei Dou Shu (The Purple Star Astrology), an ancient Chinese astrology. It allows you to obtain your horoscope and personality analysis. 支持多语言轻量级获取紫微斗数排盘信息的javascript开源库。",2025-03-20T02:12:11Z,2023-07-27T08:41:40Z,8
rsbuild,https://github.com/web-infra-dev/rsbuild,2384,185,TypeScript,web-infra-dev,The Rspack powered build tool. Support us with a star ⭐️,2025-03-21T11:56:39Z,2023-10-07T12:59:03Z,19
genaiscript,https://github.com/microsoft/genaiscript,2381,162,TypeScript,microsoft,Automatable GenAI Scripting,2025-03-21T19:59:23Z,2023-08-17T15:57:21Z,80
SoraWebui,https://github.com/SoraWebui/SoraWebui,2357,519,TypeScript,SoraWebui,"SoraWebui is an open-source Sora web client, enabling users to easily create videos from text with OpenAI's Sora model.",2024-08-04T16:25:26Z,2024-02-18T02:09:22Z,1
healthcare,https://github.com/adrianhajdin/healthcare,2352,641,TypeScript,adrianhajdin,"Build a healthcare platform that streamlines patient registration, appointment scheduling, and medical records, and learn to implement complex forms and SMS notifications.",2024-07-22T18:52:25Z,2024-07-05T10:56:53Z,41
grimoire,https://github.com/goniszewski/grimoire,2351,71,TypeScript,goniszewski,Bookmark manager for the wizards 🧙,2025-02-27T11:29:43Z,2023-06-22T14:41:17Z,19
saasfly,https://github.com/saasfly/saasfly,2348,288,TypeScript,saasfly,"Your Next SaaS Template or Boilerplate ! A magic trip start with `bun create saasfly` . The more stars, the more surprises",2025-02-17T07:18:13Z,2024-02-06T04:56:17Z,0
chat-with-gpt,https://github.com/cogentapps/chat-with-gpt,2343,496,TypeScript,cogentapps,An open-source ChatGPT app with a voice,2024-05-24T17:16:12Z,2023-03-06T12:35:57Z,86
click-prompt,https://github.com/prompt-engineering/click-prompt,2335,199,TypeScript,prompt-engineering,"ClickPrompt - Streamline your prompt design, with ClickPrompt, you can easily view, share, and run these prompts with just one click.  ClickPrompt 用于一键轻松查看、分享和执行您的 Prompt。",2023-04-07T10:12:28Z,2023-03-03T02:44:55Z,1
VTable,https://github.com/VisActor/VTable,2332,233,TypeScript,VisActor,"VTable is not just a high-performance multidimensional data analysis table, but also a grid artist that creates art between rows and columns.",2025-03-21T12:16:32Z,2023-06-05T08:51:38Z,400
ryot,https://github.com/IgnisDa/ryot,2314,73,TypeScript,IgnisDa,Roll your own tracker!,2025-03-20T17:00:55Z,2023-04-03T17:02:43Z,26
firecamp,https://github.com/firecamp-dev/firecamp,2312,149,TypeScript,firecamp-dev,"Developer-first OpenSource API DevTool, Postman/Insomnia alternative.",2024-07-30T12:29:18Z,2023-05-17T13:23:26Z,67
tango,https://github.com/NetEase/tango,2299,219,TypeScript,NetEase,"A code driven low-code builder, develop low-code app on your codebase.",2024-09-10T09:04:56Z,2023-08-24T09:21:07Z,38
codel,https://github.com/semanser/codel,2291,179,TypeScript,semanser,"✨ Fully autonomous AI Agent that can perform complicated tasks and projects using terminal, browser, and editor.",2024-04-29T17:53:58Z,2024-03-18T17:21:32Z,26
